Name,Location,Mode of Delivery,Global Ranking,Institution Type
Grenoble School of Management,Multiple locations,On campus / Blended,Not ranked,Private
Antwerp Management School,Multiple locations,On campus,Not ranked,Public
PFH Private University of Applied Sciences,Multiple locations,On campus,Not ranked,Private
Saint Peter's University,"Jersey City, United States",Online / On campus / Blended,Not ranked,Private
Academy of Art University,"San Francisco, United States",Online / On campus,Not ranked,Private
DeVry University,Multiple locations,Online / Blended,Not ranked,Unknown
Adelphi University,"Garden City, United States",Online / On campus,Not ranked,Private
School for International Training,Multiple locations,Online / On campus / Blended,Not ranked,Private
Oklahoma State University,Multiple locations,Online / On campus / Blended,556,Public
Ohio Northern University,"Ada, United States",On campus,Not ranked,Private
Webster University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Simmons University,"Boston, United States",Online / On campus,Not ranked,Private
Full Sail University,"Winter Park, United States",Online / On campus,Not ranked,Private
Engineering Institute of Technology,Multiple locations,Online / On campus,Not ranked,Private
Pacific Oaks College,"Pasadena, United States",Online / On campus / Blended,Not ranked,Unknown
St. John's University,Multiple locations,On campus,2060,Private
University of South Carolina,"Columbia, United States",Online / On campus / Blended,423,Public
Gannon University,Multiple locations,Online / On campus,Not ranked,Private
Georgia Institute of Technology,Multiple locations,Online / On campus / Blended,67,Public
University of Pittsburgh,"Pittsburgh, United States",Online / On campus / Blended,103,Public
American National University,Multiple locations,Online / Blended,Not ranked,Private
Rhodes College,"Memphis, United States",On campus,Not ranked,Private
Acupuncture and Integrative Medicine College-Berkeley,"Berkeley, United States",On campus,Not ranked,Unknown
Western Colorado University,"Gunnison, United States",Online / On campus / Blended,Not ranked,Public
Avila University,"Grandview, United States",Online / On campus,Not ranked,Private
Saint Mary's College,"South Bend, United States",Online / On campus,Not ranked,Private
Midwestern State University,"Wichita Falls, United States",Online / On campus / Blended,Not ranked,Public
Indiana Tech,"Fort Wayne, United States",Online / On campus,Not ranked,Unknown
Dordt University,"Sioux Center, United States",Online / On campus,Not ranked,Private
Oral Roberts University,"Jenks, United States",Online / On campus / Blended,Not ranked,Unknown
Saint Vincent de Paul Regional Seminary,"Boynton Beach, United States",On campus,Not ranked,Public
Antioch University,Multiple locations,Online / On campus / Blended,Not ranked,Private
Northern State University,"Aberdeen, United States","Saint Joseph, United States",Not ranked,Public
Missouri Western State University,"Saint Joseph, United States",Online / On campus,Not ranked,Public
Manhattan College,"New York City, United States",Online / On campus / Blended,Not ranked,Private
Columbia Theological Seminary,"Decatur, United States",On campus / Blended,Not ranked,Unknown
Northeast College of Health Sciences,"Seneca Falls, United States",Online / On campus,Not ranked,Public
New York Institute of Technology,Multiple locations,Online / On campus / Blended,Not ranked,Private
Reformed Presbyterian Theological Seminary,"Pittsburgh, United States",On campus,Not ranked,Unknown
Mount Mercy University,"Cedar Rapids, United States",Online / On campus,Not ranked,Private
Concordia College,"Moorhead, United States",On campus / Blended,Not ranked,Private
"University of California, Berkeley",Multiple locations,Online / On campus / Blended,7,Public
University of Tulsa,"Tulsa, United States",Online / On campus / Blended,860,Private
"University of Nevada, Las Vegas","Las Vegas, United States",Online / On campus / Blended,871,Public
Lebanese American University - Online,Multiple locations,Online,967,Unknown
Swiss School Of Business and Management,Multiple locations,Online / On campus / Blended,Not ranked,Private
Kent State University,Multiple locations,Online / On campus / Blended,1115,Public
Colorado State University,Multiple locations,Online / On campus / Blended,301,Public
Mississippi State University,Multiple locations,Online / On campus / Blended,772,Unknown
