Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
87%,None,30,750-940,16-19,113 Students rated on-campus housing 3.2 stars. 15 % gave the school a 5.0.,79 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,114 Students rated campus food 2.7 stars. 11 % gave the school a 5.0.,119 Students rated campus facilities 3.4 stars. 20 % gave the school a 5.0.,119 Students rated class size 4.1 stars. 35 % gave the school a 5.0.,119 Students rated school activities 3.8 stars. 36 % gave the school a 5.0.,118 Students rated local services 3.8 stars. 34 % gave the school a 5.0.,118 Students rated academics 3.7 stars. 32 % gave the school a 5.0.,Alabama A & M University,,,,
%,None,0,None,None,,,,,,,,,Alabama College of Osteopathic Medicine,None,,,
84%,None,0,None,None,,,,,,,,,Alabama School of Nail Technology & Cosmetology,None,,,
100%,None,0,None,None,4 Students rated on-campus housing 4.3 stars. 50 % gave the school a 5.0.,2 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,4 Students rated campus food 4.3 stars. 25 % gave the school a 5.0.,5 Students rated campus facilities 4.8 stars. 80 % gave the school a 5.0.,5 Students rated class size 5 stars. 100 % gave the school a 5.0.,5 Students rated school activities 3.8 stars. 40 % gave the school a 5.0.,5 Students rated local services 3.8 stars. 20 % gave the school a 5.0.,5 Students rated academics 5 stars. 100 % gave the school a 5.0.,Alabama Southern Community College,,,,
100%,None,25,None,None,,,,,,,,,Alabama State College of Barber Styling,None,,,
45%,None,25,730-920,15-19,97 Students rated on-campus housing 3.3 stars. 22 % gave the school a 5.0.,63 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,99 Students rated campus food 3 stars. 19 % gave the school a 5.0.,104 Students rated campus facilities 3.6 stars. 25 % gave the school a 5.0.,105 Students rated class size 4.3 stars. 46 % gave the school a 5.0.,105 Students rated school activities 3.9 stars. 37 % gave the school a 5.0.,105 Students rated local services 3.9 stars. 38 % gave the school a 5.0.,105 Students rated academics 4 stars. 39 % gave the school a 5.0.,Alabama State University,,,,
100%,None,50,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Amridge University,,,,
%,None,30,None,None,11 Students rated on-campus housing 3 stars. 18 % gave the school a 5.0.,13 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,18 Students rated campus food 3.4 stars. 22 % gave the school a 5.0.,37 Students rated campus facilities 4.5 stars. 65 % gave the school a 5.0.,37 Students rated class size 4.5 stars. 70 % gave the school a 5.0.,36 Students rated school activities 3.5 stars. 25 % gave the school a 5.0.,37 Students rated local services 4.5 stars. 68 % gave the school a 5.0.,37 Students rated academics 4.5 stars. 65 % gave the school a 5.0.,Athens State University,,,,
80%,None,50,1060-1260,24-30,221 Students rated on-campus housing 3.5 stars. 17 % gave the school a 5.0.,158 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,256 Students rated campus food 3.8 stars. 28 % gave the school a 5.0.,262 Students rated campus facilities 4.4 stars. 49 % gave the school a 5.0.,262 Students rated class size 3.9 stars. 27 % gave the school a 5.0.,261 Students rated school activities 4.3 stars. 48 % gave the school a 5.0.,261 Students rated local services 4.4 stars. 54 % gave the school a 5.0.,260 Students rated academics 4.2 stars. 52 % gave the school a 5.0.,Auburn University,,,,
76%,None,0,880-990,19-24,51 Students rated on-campus housing 4.1 stars. 35 % gave the school a 5.0.,41 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,63 Students rated campus food 3.2 stars. 16 % gave the school a 5.0.,66 Students rated campus facilities 4.1 stars. 47 % gave the school a 5.0.,66 Students rated class size 4.4 stars. 61 % gave the school a 5.0.,66 Students rated school activities 3.7 stars. 38 % gave the school a 5.0.,66 Students rated local services 4.2 stars. 55 % gave the school a 5.0.,66 Students rated academics 4.5 stars. 62 % gave the school a 5.0.,Auburn University at Montgomery,,,,
